ALBUM,SONG,PREV
Work From Home,Intentions - Acoustic,"37,655,386"
JB6,Holy - Acoustic,"18,599,813"
JB6,Lonely - Acoustic,"10,232,160"
One Time,One Time (My Heart Edition),"3,906,226"
One Time,One Time - Instrumental,"5,610"
As Long As You Love Me,As Long As You Love Me - Audien Dubstep Edit,"569,975"
As Long As You Love Me,As Long As You Love Me - Audien Dubstep Mix,"861,981"
As Long As You Love Me,As Long As You Love Me - Audiobot Edit,"354,595"
As Long As You Love Me,As Long As You Love Me - Audiobot Instrumental,"191,888"
As Long As You Love Me,As Long As You Love Me - Audiobot Remix,"387,110"
As Long As You Love Me,As Long As You Love Me - Ferry Corsten Club Dub,"192,242"
As Long As You Love Me,As Long As You Love Me - Ferry Corsten Radio,"1,507,398"
As Long As You Love Me,As Long As You Love Me - Ferry Corsten Remix,"864,263"
As Long As You Love Me,As Long As You Love Me - PAULO & JACKINSKY Club Mix,"334,130"
As Long As You Love Me,As Long As You Love Me - PAULO & JACKINSKY Dub,"148,846"
As Long As You Love Me,As Long As You Love Me - PAULO & JACKINSKY Radio,"185,525"
Beauty And A Beat,Beauty And A Beat - Bisbetic Instrumental,"167,467"
Beauty And A Beat,Beauty And A Beat - Bisbetic Radio Mix,"1,784,883"
Beauty And A Beat,Beauty And A Beat - Bisbetic Remix,"368,731"
Beauty And A Beat,Beauty And A Beat - DJ Laszlo Body Rock Club Mix,"168,127"
Beauty And A Beat,Beauty And A Beat - DJ Laszlo Body Rock Instrumental,"135,119"
Beauty And A Beat,Beauty And A Beat - DJ Laszlo Body Rock Radio Mix,"244,331"
Beauty And A Beat,Beauty And A Beat - Steven Redant Beauty and The Club Mix,"411,529"
Beauty And A Beat,Beauty And A Beat - Steven Redant Beauty and The Dub Mix,"357,462"
Beauty And A Beat,Beauty And A Beat - Wideboys Club Mix,"3,358,722"
Beauty And A Beat,Beauty And A Beat - Wideboys Dub,"240,635"
Beauty And A Beat,Beauty And A Beat - Wideboys Radio Mix,"4,004,879"
Boyfriend,Boyfriend - Joe Gauthreaux & Peter Barona Club Mix,"116,564"
Boyfriend,Boyfriend - Joe Gauthreaux & Peter Barona Full Vocal Club Mix,"139,720"
Boyfriend,Boyfriend - Joe Gauthreaux Dark Dub,"110,581"
Boyfriend,Boyfriend - Oliver Twizt Club,"207,620"
Boyfriend,Boyfriend - Oliver Twizt Instrumental,"126,976"
Boyfriend,Boyfriend - Oliver Twizt Radio,"410,164"
Boyfriend,Boyfriend - Vice Instrumental,"120,236"
Boyfriend,Boyfriend - Vice Radio,"206,770"
Turn To You,Turn To You - (Mother's Day Dedication),"17,705,709"
Wait For A Minute,Wait For A Minute,"53,195,433"
Sorry,Sorry - Latino Remix,"177,006,438"
Friends,Friends (with BloodPop?? & Julia Michaels) - Remix,"12,755,304"
Friends,Friends (with BloodPop??),"604,335,515"
No Brainer,No Brainer,"557,916,764"
"10,000 Hours","10,000 Hours (with Justin Bieber) - Piano","50,738,263"
"10,000 Hours","10,000 Hours (with Justin Bieber)","837,096,016"
bad guy,bad guy (with Justin Bieber),"333,225,951"
I Don't Care,I Don't Care (with Justin Bieber) - Chronixx & Koffee Remix,"4,950,198"
I Don't Care,I Don't Care (with Justin Bieber) - Loud Luxury Remix,"33,101,328"
I Don't Care,I Don't Care (with Justin Bieber) - Jonas Blue Remix,"42,136,784"
I Don't Care,I Don't Care (with Justin Bieber),"1,567,049,751"
Stuck with U,Stuck with U (with Justin Bieber),"819,047,831"
Monster,Monster (Shawn Mendes & Justin Bieber),"476,348,548"
Rockin' Around The Christmas Tree,Rockin' Around The Christmas Tree,"1,478,132"
Mood,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","208,603,914"
Yummy,Yummy - Country Remix,"3,772,989"
lonely christmas,lonely christmas (feat. Justin Bieber & Poo Bear),"11,570,389"
Don???t Go,Don???t Go (with Justin Bieber & Don Toliver),"84,617,242"
Essence,Essence (feat. Justin Bieber & Tems),"90,900,809"
STAY,STAY (with Justin Bieber),"2,035,865,922"
Peaches,Peaches (Masterkraft Remix) feat. Alpha P & Omah Lay,"3,274,976"
Peaches,"Peaches (Remix) feat. Ludacris, Usher & Snoop Dogg","28,498,160"
Freedom.,Afraid To Say (feat. Lauren Walters),"3,858,456"
Freedom.,All She Wrote (feat. Brandon Love & Chandler Moore),"3,798,559"
Freedom.,Freedom (with BEAM),"12,242,363"
Freedom.,We???re In This Together,"4,517,663"
Freedom.,"Where Do I Fit In (feat. Tori Kelly, Chandler Moore & Judah Smith)","11,048,509"
Freedom.,"Where You Go I Follow (feat. Pink Sweat$, Chandler Moore & Judah Smith)","6,588,480"
Honest,Honest (feat. Don Toliver),"67,306,059"
I Feel Funny,I Feel Funny,"4,182,301"
up at night,up at night (feat. justin bieber),"34,375,254"
attention,attention,"47,526,789"
Orphan,Home To Mama,"139,243,792"
Features,Somebody to Love (feat. Justin Bieber) - Remix,"8,420,648"
Features,Next To You (feat. Justin Bieber),"190,242,046"
Features,Beautiful,"18,563,985"
Features,Live My Life,"99,352,247"
Features,Live My Life - Party Rock Remix,"13,959,226"
Features,#thatPOWER,"209,884,835"
Features,Gas Pedal - Remix,"34,257,978"
Features,Maria I'm Drunk (feat. Justin Bieber & Young Thug),"99,864,710"
Features,Foreign Remix (feat. Justin Bieber),"35,184,341"
Features,Let Me Love You,"1,625,133,674"
Features,Juke Jam (feat. Justin Bieber & Towkio),"272,444,917"
Features,Deja Vu,"353,728,387"
Features,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","1,133,560,997"
Features,2U (feat. Justin Bieber),"741,140,651"
Features,Hard 2 Face Reality,"126,794,548"
Features,Let Me Love You (feat. Justin Bieber) - Don Diablo Remix,"34,669,188"
Features,Despacito - Remix,"1,558,436,229"
Features,Don't Check On Me (feat. Justin Bieber & Ink),"157,195,937"
Features,Love Thru the Computer (feat. Justin Bieber),"19,003,858"
Features,Falling For You with Justin Bieber,"38,477,622"
Features,LET IT GO (feat. Justin Bieber & 21 Savage),"80,932,285"
Features,What You See (feat. Justin Bieber),"16,865,890"
Features,Wandered To LA (with Justin Bieber),"97,003,489"
Features,SUNDOWN (feat. Justin Bieber),"5,958,209"
Features,Cold Water,"1,304,834,437"
Features,Let Me Love You - Andrew Watt Acoustic Remix,"38,836,597"
Features,Let Me Love You - Marshmello Remix,"42,970,949"
Features,bad guy,"2,105,897,372"
Features,Despacito - Remix,"14,152,393"
Features,Let Me Love You - Ti??sto's AFTR:HRS Mix,"54,243,213"
Features,Next To You (feat. Justin Bieber) - Radio Edit,"4,319,017"
Features,Where Are ?? Now (with Justin Bieber) - Ember Island Remix,"7,621,599"
Features,Where Are ?? Now (with Justin Bieber) - Kaskade Remix,"5,278,049"
Features,Where Are ?? Now (with Justin Bieber) - Marshmello Remix,"43,445,674"
Features,Where Are ?? Now (with Justin Bieber) - Rustie Remix,"6,454,877"
Features,Cold Water (feat. Justin Bieber & M??) [Afrojack Remix],"13,082,383"
Features,Cold Water (feat. Justin Bieber & M??) [Boombox Cartel Remix],"3,193,064"
Features,Cold Water (feat. Justin Bieber & M??) [Delirious & Alex K Remix],"2,342,396"
Features,Cold Water (feat. Justin Bieber & M??) [King Henry & Jr Blender Remix],"1,758,867"
Features,Cold Water (feat. Justin Bieber & M??) [Lost Frequencies Remix],"27,423,529"
Features,Cold Water (feat. Justin Bieber & M??) [Ocular Remix],"2,016,655"
Features,Let Me Love You - Sean Paul Remix,"12,160,283"
Features,Cold Water (feat. Justin Bieber & M??) [Don Omar Remix],"14,216,443"
Features,Where Are ?? Now LIVE (with Justin Bieber),"6,044,553"
Features,2U (feat. Justin Bieber) - R3HAB Remix,"6,513,768"
Features,2U (feat. Justin Bieber) - Seeb Remix,"7,413,032"
Features,2U (feat. Justin Bieber) - Symphonic,"4,521,787"
Features,2U (feat. Justin Bieber) - FRNDS Remix,"5,268,628"
Features,2U (feat. Justin Bieber) - Tujamo Remix,"2,772,247"
Features,2U (feat. Justin Bieber) - Robin Schulz Remix,"3,308,886"
Features,2U (feat. Justin Bieber) - GLOWINTHEDARK Remix,"2,245,722"
Features,2U (feat. Justin Bieber) - DJ Sub Zero Remix,"1,083,117"
Features,Lean on Me - ArtistsCAN,"9,259,288"
Features,Attention (with Justin Bieber) - Disclosure Remix,"3,346,988"
